gid,ev_id,iso3disno,iso3year,glide,iso3,id_nat,id_cat,year,start_date,end_date,time_gmt,time_local,duration
8973,DR1620,,COK1983,,COK,DR1620COK,,1983,00000000,00000000,,00000000,0
8935,DR6580,,COG1996,,COG,DR6580COG,,1996,00000000,00000000,,00000000,0
8947,DR1044,,COG1982,,COG,DR1044COG,,1982,00000000,00000000,,00000000,0
8948,DR1115,,COG1982,,COG,DR1115COG,,1982,00000000,00000000,,00000000,0
8949,DR7231,,COK1998,,COK,DR7231COK,,1998,00000000,00000000,,00000000,0
8950,DR5279,,COK1992,,COK,DR5279COK,,1992,00000000,00000000,,00000000,0
8936,DR6249,,COG1995,,COG,DR6249COG,,1995,00000000,00000000,,00000000,0
8951,DR1630,,COK1983,,COK,DR1630COK,,1983,00000000,00000000,,00000000,0
8952,DR1150,,COK1982,,COK,DR1150COK,,1982,00000000,00000000,,00000000,0
8953,DR7233,,COK1998,,COK,DR7233COK,,1998,00000000,00000000,,00000000,0
8954,DR1631,,COK1983,,COK,DR1631COK,,1983,00000000,00000000,,00000000,0
8955,DR1152,,COK1982,,COK,DR1152COK,,1982,00000000,00000000,,00000000,0
8956,DR7228,,COK1998,,COK,DR7228COK,,1998,00000000,00000000,,00000000,0
8974,DR1138,,COK1982,,COK,DR1138COK,,1982,00000000,00000000,,00000000,0
8937,DR5892,,COG1994,,COG,DR5892COG,,1994,00000000,00000000,,00000000,0
8938,DR5562,,COG1993,,COG,DR5562COG,,1993,00000000,00000000,,00000000,0
8939,DR5217,,COG1992,,COG,DR5217COG,,1992,00000000,00000000,,00000000,0
8940,DR4124,,COG1989,,COG,DR4124COG,,1989,00000000,00000000,,00000000,0
8941,DR3682,,COG1988,,COG,DR3682COG,,1988,00000000,00000000,,00000000,0
8946,DR1567,,COG1983,,COG,DR1567COG,,1983,00000000,00000000,,00000000,0
8957,DR1624,,COK1983,,COK,DR1624COK,,1983,00000000,00000000,,00000000,0
8978,DR3710,,COK1988,,COK,DR3710COK,,1988,00000000,00000000,,00000000,0
8979,DR1101,,COK1982,,COK,DR1101COK,,1982,00000000,00000000,,00000000,0
